"Date","Price","Open","High","Low","Vol.","Change %"
"May 05, 2020","2.335","2.325","2.340","2.323","-","0.65%"
"May 04, 2020","2.320","2.297","2.323","2.284","-","1.00%"
"May 03, 2020","2.297","2.312","2.312","2.291","-","-0.61%"
"May 01, 2020","2.311","2.332","2.333","2.286","-","-0.94%"
"Apr 30, 2020","2.333","2.377","2.394","2.319","-","-1.85%"
"Apr 29, 2020","2.377","2.343","2.386","2.342","-","1.45%"
"Apr 28, 2020","2.343","2.339","2.373","2.330","-","0.21%"
"Apr 27, 2020","2.338","2.349","2.380","2.325","-","-0.47%"
"Apr 26, 2020","2.349","2.357","2.366","2.349","-","-0.38%"
"Apr 24, 2020","2.358","2.305","2.363","2.289","-","2.30%"
"Apr 23, 2020","2.305","2.281","2.339","2.273","-","1.10%"
"Apr 22, 2020","2.280","2.246","2.293","2.211","-","1.51%"
"Apr 21, 2020","2.246","2.308","2.313","2.150","-","-2.69%"
"Apr 20, 2020","2.308","2.337","2.354","2.294","-","-1.24%"
"Apr 19, 2020","2.337","2.348","2.348","2.335","-","-0.13%"
"Apr 17, 2020","2.340","2.322","2.357","2.322","-","0.73%"
"Apr 16, 2020","2.323","2.293","2.352","2.287","-","1.31%"
"Apr 15, 2020","2.293","2.325","2.329","2.277","-","-1.38%"
"Apr 14, 2020","2.325","2.313","2.335","2.309","-","0.52%"
"Apr 13, 2020","2.313","2.282","2.352","2.281","-","1.31%"
"Apr 12, 2020","2.283","2.282","2.300","2.263","-","0.57%"
"Apr 10, 2020","2.270","2.270","2.270","2.270","-","-0.04%"
"Apr 09, 2020","2.271","2.276","2.288","2.247","-","-0.22%"
"Apr 08, 2020","2.276","2.255","2.287","2.243","-","0.98%"
"Apr 07, 2020","2.254","2.236","2.317","2.234","-","0.71%"
"Apr 06, 2020","2.238","2.192","2.254","2.187","-","2.15%"
"Apr 05, 2020","2.191","2.180","2.196","2.180","-","0.55%"
"Apr 03, 2020","2.179","2.214","2.232","2.172","-","-1.58%"
"Apr 02, 2020","2.214","2.172","2.235","2.151","-","1.93%"
"Apr 01, 2020","2.172","2.213","2.222","2.155","-","-1.85%"
"Mar 31, 2020","2.213","2.172","2.247","2.172","-","1.89%"
"Mar 30, 2020","2.172","2.158","2.175","2.143","-","0.65%"
"Mar 29, 2020","2.158","2.175","2.175","2.135","-","-1.78%"
"Mar 27, 2020","2.197","2.190","2.190","2.190","0.29K","-0.50%"
"Mar 26, 2020","2.208","2.190","2.218","2.190","0.48K","-1.16%"
"Mar 25, 2020","2.234","2.208","2.211","2.174","0.72K","1.66%"
"Mar 24, 2020","2.197","2.151","2.231","2.151","0.45K","3.68%"
"Mar 23, 2020","2.119","2.114","2.125","2.105","0.38K","-3.24%"
"Mar 20, 2020","2.191","2.162","2.241","2.120","0.41K","-0.43%"
